object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-10214-3703 ,122.92139,36.115776,18.079904866707928,16.55609302821496,17.0905471936053
manga-10216-3704 ,117.239525,17.57712,17.088645415983976,15.630655714246828,16.110690348199494
manga-10216-9101 ,116.672745,18.73484,17.333411708640995,15.93430599390129,16.32014608237839
manga-10217-3703 ,119.29321,14.658764,17.047999394009747,15.924703813654729,16.294548172174878
manga-10218-12703,118.63424,16.809729,17.806435311536163,16.580405665558906,17.00756564312548
manga-10218-3704 ,119.16881,16.920115,18.06973006874249,16.662644263872835,17.13480815608107
manga-10220-12701,120.348595,32.883804,19.52005612844621,17.916698594790578,18.433214386306474
manga-10220-12702,120.48959,33.16459,18.8636937408684,17.34385488497322,17.82216149003196
manga-10220-6104 ,121.71815,32.250328,19.05408326411715,17.29693803936986,17.92889654365661
manga-10492-6103 ,122.972984,57.951893,18.138837688798482,16.669787326108967,17.09318263911817
manga-10493-1902 ,124.32737,52.029915,18.656023875497432,17.641189390353222,18.000250157024986
manga-10493-6103 ,123.431725,52.960617,19.012787423519075,17.381785737806574,17.897876898218414
manga-10494-12702,124.51605,54.619083,18.687179208223668,17.05281871431191,17.55116767654092
manga-10494-12704,125.38826,55.15197,18.408458385797815,16.84548737147029,17.35717126380322
manga-10494-6102 ,124.924095,54.627277,18.022210306951894,16.543494594056682,17.09907115164488
manga-10496-12704,125.4594,41.876266,17.962526785598467,17.141052358790937,17.476821955354104
manga-10496-6104 ,126.502396,40.981113,17.495922159861408,16.096417462610916,16.553298543411774
manga-10497-12702,121.603966,17.417686,19.497744624377503,17.892918511676108,18.439941857484207
manga-10498-1902 ,130.3201,27.659315,18.565378639487086,16.90579384695642,17.461579242738807
manga-10498-3702 ,130.15088,27.87653,18.50665567682519,16.91275866814768,17.431761374562676
manga-10498-6101 ,129.74702,26.136992,17.685425630834487,16.110698684875132,16.724948930717108
manga-10498-6102 ,130.41907,25.80777,19.060872463393657,17.394712673973185,17.810067669676474
manga-10498-6103 ,131.22498,27.719,18.370730481919207,16.920014518631387,17.380822010010345
manga-10499-12702,131.63524,29.598722,18.50093182167988,17.11310306682468,17.568186285920667
